gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
rs429358-WT-228,0.01574531618863108,1.583455687406183,1,1,1
Tmem119,0.03363374699949635,-0.4687227888256258,1,1,1
Lgals3bp,0.03634584857042409,0.6244828238205091,1,1,1
Gstm1,0.039798892702666434,-0.634641478727139,1,1,1
Ms4a4b,0.04831886115679335,1.0237563711159212,1,0.667,1
Selplg,0.06389345680900894,-0.5321505491459968,1,1,1
Htr2c,0.08849639748669666,-1.0581126607519196,1,1,1
Tac1,0.09080629689163808,1.419118001040873,0.75,0.667,1
rs7412-ALT-226:T,0.092696512417095,1.005583368802971,1,1,1
Grin2a,0.11935579890616718,-0.8904648709809784,1,1,1
Ddost,0.12428605414872532,0.47119502956559156,1,1,1
Pfkp,0.14743555546464415,-0.6320433480641956,1,1,1
Hspg2,0.14925194289747773,0.4064706444422034,1,1,1
rs429358-ALT-228:C,0.15011896640106792,0.8583940857144496,1,0.667,1
Cd74,0.16598569012873782,0.39750983760613856,1,1,1
P2ry12,0.17085303551374187,-0.2323042647551672,1,1,1
Nts,0.1755974411433283,1.2302310648102508,0.75,0.333,1
Tox2,0.17814576729565434,-0.9985591624303437,0.75,1,1
G6pd2,0.18149099821900763,1.087176643787267,1,0.667,1
Vtn,0.18772983388019912,-1.3325591516071862,0.75,1,1
Tmx4,0.1926238190992556,-0.44041498296547843,1,1,1
H2az1,0.20916672712880924,-1.4242002819278863,0.75,1,1
Hs2st1,0.2113616027532674,-0.897533773061832,1,1,1
Slc2a1,0.21439023422898848,0.38640553462501437,1,1,1
Rxra,0.2149963606127545,1.0317935528937026,1,0.667,1
Polr1a,0.21828472421600814,1.1786663723545472,1,0.667,1
Jund,0.2192196557131208,-0.42081775174448577,1,1,1
Mdh1,0.22111732919114704,-0.2978364035250056,1,1,1
Vegfa,0.22282081824325833,0.6139799368433305,1,1,1
Jun,0.2264833824673304,-1.1174912144189169,1,1,1
Spp1,0.23476694056815106,0.8387593612438571,1,1,1
Lamp5,0.23598164863652196,-0.8190551822036067,1,1,1
Kdsr,0.24988175521624376,-0.6850613150291345,1,1,1
Adss,0.24992637722269015,0.4944737659862737,1,1,1
Bhlhe40,0.2619609547074106,-0.7943275095988973,1,1,1
Dpm1,0.262852949965484,-0.569556415047169,1,1,1
Ifit2,0.2675519463384177,0.4872949153898545,1,1,1
Abcg1,0.2697289182956607,0.3152203522882244,1,1,1
Ccl5,0.27082079300219025,0.3247068937556108,0.75,0.667,1
Adcy5,0.27121652611318453,-0.6245535994780962,1,1,1
Gpnmb,0.27173207611226585,0.8234957290881129,1,1,1
B3galt5,0.27308220083423707,-0.6455962136928459,1,1,1
Aldh9a1,0.2756062588071982,-0.5149141324792064,1,1,1
Pygb,0.2757431323527785,-0.22301682925106636,1,1,1
Aqp4,0.28117027051989407,-0.516791104692353,1,1,1
Gad1,0.28232959107344185,0.4585879585427679,1,1,1
Stt3a,0.28406043790347935,0.40334713179238424,1,1,1
Lratd2,0.284395359231306,0.7948439183882183,0.75,0,1
Itgax,0.2858070741392307,0.300676505216078,1,1,1
Ppt1,0.2879332322668853,0.268526437679796,1,1,1
Mki67,0.28830676385758286,1.3129193787494018,1,0.333,1
Gclm,0.28863417469690544,-0.5746721269511998,1,1,1
Mt3,0.294152678528386,-0.4726214877462469,1,1,1
Pomgnt1,0.30061090299405385,0.47257288496109817,1,1,1
Pgd,0.3111762232745166,0.2606272397636351,1,1,1
Idh2,0.3178711217749184,-0.2743829337814603,1,1,1
Ppat,0.3183590997734612,-1.1428230306887464,0.75,1,1
Uba52,0.326151069194539,-0.344457282237717,1,1,1
Aspa,0.3288640245853518,1.1112803245776004,1,0.667,1
Plin4,0.3289141171224188,1.1222450360159821,1,0.667,1
Gzmb,0.3319189247275487,0.9855700036399131,0.75,0.333,1
Me1,0.3407801604431344,0.365468760211451,1,1,1
Bpgm,0.3411118180979067,0.43601437927623854,1,1,1
H2-Ab1,0.3423628858364448,0.8047711405450337,0.75,0.333,1
Atp13a5,0.3437670384759377,-1.2648551090111169,0.5,0.667,1
Pycr2,0.34472715352243116,-0.6672310691953958,1,1,1
Fezf2,0.34651419919637055,-0.2950913505325543,1,1,1
Tubb2b,0.34659813197232753,-0.26141249495606056,1,1,1
Dlst,0.34896398341438073,0.27409007496865456,1,1,1
Plcg2,0.348998890824607,0.2988210413401404,1,1,1
Ctsl,0.3520707708703966,0.2245916057955073,1,1,1
Tgfbr1,0.3525150596090026,-0.18718983857031635,1,1,1
Reln,0.3555737935065281,-0.5446466960207892,1,1,1
Hexa,0.36274948150941116,0.1810971779155519,1,1,1
Clec10a,0.3640960197965984,-1.3139044769217616,0.75,1,1
Kcnj8,0.3674394231280069,-1.571509662384263,0.25,0.667,1
Plin3,0.36756465083646966,1.3012052106992509,1,0.667,1
Lrp1,0.3707604882733241,-0.25265074692915057,1,1,1
Cldn11,0.37329039322800417,0.18090104065428303,1,1,1
Gja1,0.37920781418091737,0.5992210548064127,1,1,1
Lgals3,0.38138314224104947,1.0687444687416687,1,0.333,1
Rorb,0.3830454178475712,-0.49976264225476674,1,1,1
Tlr4,0.3864389359578877,0.23537337974736872,1,1,1
Camp,0.3869359952237716,0.693333667014434,1,0.667,1
Galnt1,0.3882762186162113,-0.34097895670125133,1,1,1
Ifitm2,0.3910377275826297,0.33620401017362345,1,1,1
Pnp,0.3939984506200395,-0.22452565770212995,1,1,1
Aldh3b1,0.3945327802668756,-0.737649068249973,1,1,1
Maob,0.3946667246763769,-0.8503955668205281,1,1,1
Alg5,0.3956527457094848,0.5267380152073926,1,1,1
Sptlc2,0.3960887804865868,0.6186886220494539,1,1,1
Pdha1,0.3965304632708424,-0.2322192743916096,1,1,1
Mertk,0.3968700537851319,0.18158864867614266,1,1,1
Hkdc1,0.3968857880459381,-0.9650493711664958,0.75,1,1
Csf1,0.39906558560978406,0.17142913220003297,1,1,1
Phgdh,0.40360310538862176,-0.20508628385789462,1,1,1
Ctsd,0.40884154261699074,0.1078473903755679,1,1,1
Serpina3n,0.4093422117695105,0.2866743293749372,1,1,1
Pvalb,0.41225984809235683,0.8696141393880137,0.75,0.667,1
Aldh7a1,0.4171284443564558,0.44571348054117577,1,1,1
Plcb4,0.41892696007039926,-0.20975855452347258,1,1,1
Ifit1,0.4230607349231795,0.8167482721587442,0.75,0.333,1
Ctps2,0.423343111147999,0.4039507025894076,1,1,1
Gns,0.425507961603536,0.15809787270472775,1,1,1
Acsl4,0.428050234208042,-0.2809063391935096,1,1,1
Smpd1,0.4283616610505088,0.490933049286014,1,1,1
Apoc4,0.4321517367981685,-0.006159678961277587,0.75,1,1
Bhlhe41,0.4338041879502502,0.11299517634209533,1,1,1
Etnk1,0.4358594757237151,0.26159865917570935,1,1,1
Mapkapk2,0.4401338910990409,0.0042016364455479405,1,1,1
Ccl3,0.4405713096626849,-0.6617046604209116,1,1,1
H2-Eb1,0.44072461369869886,-0.1716402168162453,0.75,1,1
Folh1,0.44384753111839353,-1.0846358411913577,0.75,0.667,1
Rapgef3,0.4462310842468268,-0.6488034980669226,1,1,1
Tkt,0.44883612494325414,-0.3468487216832532,1,1,1
Ptges3,0.4511722260989476,-0.3018485344585824,1,1,1
rs7412-WT-226,0.4552499893229184,0.49083532654401485,1,0.667,1
Cnr1,0.4562556992586565,-0.3678482827071743,1,1,1
Cad,0.4597524908257493,-0.6158987149911861,0.75,1,1
Hibadh,0.46017239629827417,0.640683011925776,1,0.667,1
Srebf1,0.46123463674625187,0.31361983219884726,1,1,1
Ids,0.46414280516845974,-0.1533571222553789,1,1,1
Pgam1,0.4694675195262063,0.23688988366561592,1,1,1
Adamts2,0.4736002645496844,0.5419332827934327,0.75,0.333,1
Serping1,0.47493117359443376,0.6424532326707294,0.75,0.667,1
Msmo1,0.4782456094130162,0.3663418274765151,1,1,1
Mrc1,0.47864915247100964,0.6528158464502563,0.75,0.333,1
Fxyd5,0.4799939586082448,0.22460830034098112,1,1,1
Timp3,0.4862416200154191,-0.13533903463112473,1,1,1
Ebp,0.48755450299126585,-0.350365076843995,1,1,1
Ganc,0.49160678127670515,0.5628300563194639,1,0.667,1
Bin1,0.49332400974972135,-0.12752709446773203,1,1,1
Tagln,0.49659226340872714,-1.271850820570531,0.5,1,1
Uqcrc1,0.4977069399633324,0.23204549991466283,1,1,1
Pdcd1,0.5017376439918293,-0.022021148694670423,1,1,1
Nlrp3,0.5029279826710475,-0.41058263845553844,1,1,1
Slc33a1,0.5043162078071812,-0.3226349366507555,1,1,1
Apoe,0.5057008056038778,0.46773717183393826,0.75,0.333,1
Mdh2,0.511560337209385,-0.19747578179838943,1,1,1
Dlat,0.5122900816559308,0.21819021905032,1,1,1
Cd247,0.5152775194369842,0.8636972628989202,0.75,0.333,1
Aif1,0.5153478915158236,0.15813025606584485,1,1,1
Sncg,0.5168134389147714,0.5641489020544287,0.5,0.333,1
Lpcat2,0.5182326668390993,0.21129272773586028,1,1,1
Gpx1,0.5197754049102421,-0.22950773878933806,1,1,1
Axl,0.5210677593211083,0.05302092819974202,1,1,1
Grn,0.5217308685172881,0.11033297982293977,1,1,1
Pparg,0.5222899735418146,-0.6653575589644816,0.75,0.667,1
Lipa,0.5235193545487242,0.1294799693168902,1,1,1
Sgpl1,0.5242929044023422,0.13517776718016883,1,1,1
Acta2,0.5261590652442496,-0.15082090853308738,1,1,1
Hmgcr,0.5268070194043418,-0.5223498105191662,1,1,1
Ifitm1,0.5277107796882574,0.831488359446835,0.75,0.333,1
Tunar,0.5318800516300196,1.2118289459097311,1,0.333,1
Apod,0.5340363163874136,0.025621139210572963,1,1,1
Got2,0.5342587332552711,-0.28712516565158896,1,1,1
Dpyd,0.5363776795903563,0.9500259564115505,1,0.333,1
Srebf2,0.5375388168590126,0.37506199945429053,1,1,1
Tecr,0.5390711064356912,-0.21712582607404363,1,1,1
St6galnac4,0.539515975930576,0.46878222960312455,1,1,1
Bcl2,0.5401074291546655,0.2562375247391042,1,1,1
Egr1,0.5404010434439406,-0.14763161810829528,1,1,1
Cs,0.5407888354191754,0.24419459150576728,1,1,1
Ppara,0.5448503116291801,-0.6389389866479571,0.75,1,1
Lhx6,0.549179653333763,0.5892761219965958,0.75,0.333,1
Ftl1,0.5550436626790612,0.09337903391077074,1,1,1
Degs1,0.5558769903764028,0.17796268177979258,1,1,1
Lap3,0.5562258515121137,0.10018433786378811,1,1,1
Bckdha,0.5583493760244806,-0.40679420015302625,1,1,1
Cr2,0.5587603389503738,0.6274527151067448,0.75,0.667,1
Ifitm3,0.5598785987017912,0.048310642993826036,1,1,1
Hmgcs1,0.5631698538374588,-0.2329462468006609,1,1,1
C3,0.5644885496528231,0.49319505702252797,1,0.667,1
App,0.564681912315851,-0.05077787869835948,1,1,1
Ptgs1,0.5678936927316172,-0.14645375289954377,1,1,1
Acat1,0.5681243959517311,0.25999237475398207,1,1,1
Rxrb,0.5700955548991458,-0.31699295400440963,1,1,1
Apoc1,0.5703973580861603,-0.37241885733624325,0.75,0.667,1
Pax6,0.5722159399264928,-0.5422522156019437,0.75,0.667,1
Syt6,0.5728661760020863,-0.8418796714883595,0.75,1,1
Soat1,0.5744787901475754,-0.5410404935776967,0.75,1,1
Acsl1,0.5751149061651272,-0.554391254198592,0.75,1,1
Dcx,0.575936637258015,-0.7521308545347782,0.75,0.667,1
Ckb,0.5782314383372382,-0.08445491891998991,1,1,1
Cat,0.579070566285591,-0.3944574691751823,1,1,1
Cux2,0.5819069002749784,-0.2964372922869687,1,1,1
Bcl2a1b,0.5842234971042783,0.10539737673874772,1,1,1
Hexb,0.5846221816511945,-0.13869033492283833,1,1,1
Cndp2,0.5889278429782561,0.14534597373670888,1,1,1
Gatm,0.5896987434755744,-0.14520892984150535,1,1,1
Ly86,0.5900456905748337,0.11754649227443004,1,1,1
Sdha,0.5903593803780763,0.10814471039492268,1,1,1
Ndufv2,0.59204408336679,-0.19902459230416492,1,1,1
Acad8,0.5929846568054187,-0.2561112195409354,1,1,1
Hadha,0.5930068125159271,-0.2513574645679535,1,1,1
Glud1,0.5958748003301246,-0.11970755455150339,1,1,1
Sst,0.5988759948767445,0.5866369270953087,1,0.667,1
Htra1,0.5998834765824359,0.5095418916699423,1,1,1
Adh5,0.6004235261782612,-0.32118243932798585,1,1,1
Tnr,0.6008554939010159,-0.33108241083581835,1,1,1
Cd68,0.6026524749635322,0.09182816741254296,1,1,1
Tmsb4x,0.6041214673052583,-0.09511819085281203,1,1,1
Abca7,0.6058582211922294,0.2403308457859774,1,1,1
G6pc3,0.6074605534711988,0.23596484588087296,1,1,1
Rhob,0.608262757415768,-0.03781295288926678,1,1,1
Myo1e,0.612047706670978,0.24940673048126394,1,1,1
Pkm,0.6122088122902236,0.10381308327658534,1,1,1
Mgl2,0.6138549087412475,0.4452134135952278,0.75,0.333,1
Mgp,0.6142557937008828,0.3157707513369734,0.5,0.333,1
Gpat4,0.6146318771271297,0.27058541310652373,1,1,1
Gclc,0.6161896386477475,-0.29337751640757226,1,1,1
Akt1,0.61768152784394,-0.1465847477215112,1,1,1
Mt2,0.6189764064758488,0.2477131872374274,1,1,1
Scg3,0.620923597741361,-0.13266857696847634,1,1,1
Ppcdc,0.6265422902561887,-0.2696534609689123,1,1,1
Nkg7,0.62662968499684,1.2019917051450772,0.75,0.333,1
Otof,0.6283117613673587,-0.9629030837767945,0.75,1,1
Acaca,0.6299489861957286,-0.0300623579966941,1,1,1
Sdhb,0.6307135570284649,0.25708269095024594,1,1,1
Echs1,0.6352233959939042,0.134004922307569,1,1,1
Hsd11b1,0.6372981502342241,0.11219414471111855,1,1,1
Fas,0.6396541384146209,-0.9855139628218521,0.5,1,1
Sdhc,0.6411471927244261,0.3383989122779414,1,1,1
Ptgds,0.6421086318023366,0.19073079943255822,1,1,1
Car12,0.6453599155205408,-0.6305002520195292,0.75,0.667,1
Pdgfra,0.6460665691824306,0.1851889274283105,1,1,1
Grin2b,0.6495686178975084,-0.54938012915199,1,1,1
Adh1,0.6498250382485133,0.36616316926421977,0.75,0.333,1
Fut9,0.6521008923985547,-0.18697294311829493,1,1,1
Pfkfb3,0.6531895486520052,0.01494322698439099,1,1,1
Calb1,0.6537476297325886,-0.04402261834468302,1,1,1
Chst1,0.6546023459770967,0.0629207293458407,1,1,1
Ttr,0.6579482277304864,-0.48405216452737587,1,1,1
Ppard,0.6581914725477196,0.1668563446698026,1,1,1
St3gal6,0.6595007650958531,-0.16642142786368286,1,1,1
Cst3,0.6601994102952782,-0.04788410248587205,1,1,1
Dgat1,0.6604702998360558,-0.5722280201665015,0.75,1,1
Prodh,0.6678744531325573,-0.33929189893227285,1,1,1
Odc1,0.680399260222109,-0.36969926225535543,1,1,1
Pmm1,0.6819354560140829,0.315431845120846,1,1,1
Numb,0.6847567949935149,-0.12568089291630358,1,1,1
